目标词,匹配词,相似度,是否匹配
江南小巷,3,0.921,TRUE
酒店大床,2,0.56,FALSE
水乡漫步,4,0.87,TRUE
美食暴击,5,0.822,TRUE
古街景区,3,0.894,TRUE
跨界料理实验室,2,0.591,FALSE
江南味蕾地图,3,0.875,TRUE
极简光影,5,0.879,TRUE
氛围大片,5,0.717,FALSE
宝藏餐厅,2,0.909,TRUE
牛骨髓蟹黄拌饭,3,0.809,TRUE
茶壶奶茶,3,0.943,TRUE
南栅老巷,3,0.876,TRUE
烟熏牛肉芝士瀑布面,3,0.722,TRUE
漂亮酸奶碗,2,0.778,TRUE
彩椒芝士汉堡,3,0.8,TRUE
特调鸡尾酒,2,0.918,TRUE
人潮,5,0.895,TRUE
出片玄机,5,0.903,TRUE
筷子,3,0.684,FALSE
牛骨髓,3,0.646,FALSE
舌尖,3,1,TRUE
时空,5,0.845,TRUE
双重穿越,4,0.688,FALSE
灵魂,5,0.749,TRUE
千百年来的故事,3,0.849,TRUE
规模最大,3,0.653,FALSE
全面,5,0.837,TRUE
三寸金莲鞋,3,0.814,TRUE
裹脚,3,0.828,TRUE
落泪,5,0.79,TRUE
时机,5,0.8,TRUE
邂逅,5,0.774,TRUE
不真实,5,0.802,TRUE
河中,3,0.998,TRUE
白墙黑瓦,3,1,TRUE
隐藏的轮廓,5,0.76,TRUE
独特,5,0.728,TRUE
诠释,5,0.863,TRUE
淋漓尽致,5,0.861,TRUE
满满的感动,5,0.684,FALSE
大剧院,2,0.932,TRUE
年市,3,0.888,TRUE
春卷,3,0.941,TRUE
宝藏古镇,3,0.945,TRUE
唐宋楼阁,3,0.898,TRUE
紫藤花海,3,0.923,TRUE
人少花多,5,0.858,TRUE
时尚古镇,5,0.813,TRUE
彩色油纸伞,3,0.948,TRUE
宋韵集市,3,0.893,TRUE
日系抓拍,4,0.862,TRUE
千年银杏,3,0.76,TRUE
红墙光影,3,0.755,TRUE
禅意,3,1,TRUE
听雨屋,2,0.872,TRUE
传统刺绣,3,0.841,TRUE
高定服装,3,0.933,TRUE
跨界展览,4,0.702,FALSE
春日限定穿搭,5,0.677,FALSE
傍晚蓝调时刻,5,0.769,TRUE
亭台倒影,3,0.837,TRUE
烟气飘飘,5,0.974,TRUE
城墙,3,0.857,TRUE
俯瞰花海,3,0.803,TRUE
紫藤客栈,2,0.731,TRUE
珍宝馆,2,1,TRUE
濮氏,3,0.929,TRUE
珍品展品,2,0.89,TRUE
濮商会馆,2,0.84,TRUE
钱币隧道,2,0.661,FALSE
濮绸展品,3,0.802,TRUE
银元宝,3,0.863,TRUE
舟游濮院,4,0.884,TRUE
两岸风景,3,0.855,TRUE
私藏江南,5,0.91,TRUE
乌镇江南小镇,3,0.958,TRUE
悠闲自在,5,0.885,TRUE
船,2,0.891,TRUE
江南小镇,3,0.948,TRUE
南栅老街,3,0.889,TRUE
老街道,3,0.924,TRUE
车骑人,2,0.736,TRUE
快落,5,0.878,TRUE
古镇街道,3,0.914,TRUE
绿色郊野,3,0.695,FALSE
乌镇人少,5,0.798,TRUE
满眼绿色,3,0.69,FALSE
稻田,3,0.821,TRUE
树林,3,0.827,TRUE
江浙乡村风情,3,0.936,TRUE
幸运,5,0.869,TRUE
老牌土菜馆,3,0.771,TRUE
老弄堂,3,0.928,TRUE
土菜,3,0.71,FALSE
色香味俱全,3,0.849,TRUE
分量实在,5,0.781,TRUE
服务员大姨,2,0.716,FALSE
现点现做,3,0.841,TRUE
锅气十足,5,0.835,TRUE
人均几十块,5,0.571,FALSE
东坡肉,3,0.84,TRUE
软糯可口,3,0.948,TRUE
咸甜入味,3,0.964,TRUE
吃不腻,5,0.806,TRUE
分量足,3,0.727,TRUE
下饭,3,0.887,TRUE
肥瘦相间,3,0.678,FALSE
层次感,3,0.814,TRUE
西红柿蛋汤,3,0.841,TRUE
浓郁,5,0.912,TRUE
滑嫩,3,0.941,TRUE
鸡蛋,3,0.578,FALSE
酸甜可口,3,0.926,TRUE
西红柿,3,0.709,FALSE
简简单单的幸福,5,0.799,TRUE
河虾,3,0.798,TRUE
野生河虾,3,0.72,FALSE
品质很好,5,0.804,TRUE
个头,5,0.892,TRUE
肉质紧实,3,0.891,TRUE
饱满,5,0.713,FALSE
鲜甜可口,3,0.945,TRUE
适配度,5,0.785,TRUE
老宅,3,0.974,TRUE
博物馆,2,0.943,TRUE
王大妈面馆,2,0.822,TRUE
隐藏版美食,3,0.811,TRUE
阳台,2,0.801,TRUE
江南气息,5,0.955,TRUE
欢迎礼盒,2,0.682,FALSE
早餐,3,0.858,TRUE
夜游乌镇,4,0.755,TRUE
原创,5,0.8,TRUE
客片,4,0.771,TRUE
风格,3,0.91,TRUE
姿势,4,0.824,TRUE
水乡灵魂,3,0.836,TRUE
东栅晨光,3,0.816,TRUE
江南烟火气,5,0.831,TRUE
极简建筑,3,0.804,TRUE
芦苇荡,3,0.898,TRUE
蓝染布,3,0.762,TRUE
古镇专属邮戳,3,0.754,TRUE
南栅慢生活,5,0.58,FALSE
烟雨江南咖啡,2,0.861,TRUE
手艺人作坊,2,0.86,TRUE
蚕丝被制作,3,0.715,FALSE
自制方巾,3,0.781,TRUE
西栅包摇橹船,2,0.884,TRUE
提灯夜游,4,0.854,TRUE
灯火星河,3,0.598,FALSE
免费纸灯笼,2,0.704,FALSE
露天电影,4,0.807,TRUE
北斗湾,3,0.796,TRUE
水边观影氛围感,5,0.783,TRUE
戏剧表演,4,0.752,TRUE
妈妈的故事,5,0.696,FALSE
倾情演绎,4,0.82,TRUE
感人,5,0.886,TRUE
值得一看,5,0.714,FALSE
意境,5,0.889,TRUE
演员,4,0.712,FALSE
茶咖,2,0.935,TRUE
江南慢生活,5,0.757,TRUE
临河,2,0.963,TRUE
饭馆,2,0.927,TRUE
竹蜻蜓,3,0.801,TRUE
调酒,2,0.932,TRUE
调酒师,2,0.835,TRUE
骨髓松茸饭,3,0.667,FALSE
三白,3,0.829,TRUE
驻唱,4,0.888,TRUE
二次方咖啡吧,2,0.913,TRUE
遗迹,3,0.852,TRUE
守护神,3,0.856,TRUE
银杏树,3,0.859,TRUE
