目标词,匹配词,相似度,是否匹配
幸运,5+3,0.687,False
老牌土菜馆,3+4,0.757,True
老弄堂,3+2,0.923,True
土菜,3+4,0.71,False
色香味俱全,3+4,0.846,True
分量实在,5+1,0.774,True
服务员大姨,2+3,0.68,False
现点现做,3+4,0.841,True
锅气十足,5+2,0.835,True
人均几十块,5+1,0.299,False
东坡肉,3+4,0.707,False
软糯可口,3+4,0.92,True
咸甜入味,3+4,0.923,True
吃不腻,5+2,0.806,True
分量足,3+4,0.666,False
下饭,3+4,0.848,True
肥瘦相间,3+4,0.676,False
层次感,3+2,0.814,True
西红柿蛋汤,3+4,0.841,True
浓郁,5+2,0.909,True
滑嫩,3+4,0.936,True
鸡蛋,3+4,0.504,False
酸甜可口,3+4,0.926,True
西红柿,3+4,0.648,False
简简单单的幸福,5+3,0.712,False
河虾,3+4,0.717,False
野生河虾,3+4,0.64,False
品质很好,5+2,0.638,False
个头,5+2,0.892,True
肉质紧实,3+4,0.651,False
饱满,5+2,0.713,False
鲜甜可口,3+4,0.945,True
适配度,5+1,0.761,True
老宅,3+2,0.76,True
博物馆,2+1,0.943,True
王大妈面馆,2+1,0.822,True
隐藏版美食,3+4,0.761,True
阳台,2+2,0.66,False
江南气息,5+2,0.955,True
欢迎礼盒,2+3,0.626,False
早餐,3+4,0.615,False
夜游乌镇,4+1,0.755,True
原创,5+3,0.8,True
客片,4+1,0.771,True
风格,3+2,0.891,True
姿势,4+1,0.824,True
水乡灵魂,3+5,0.647,False
东栅晨光,3+1,0.761,True
江南烟火气,5+2,0.831,True
极简建筑,3+2,0.709,False
芦苇荡,3+1,0.819,True
蓝染布,3+4,0.621,False
古镇专属邮戳,3+3,0.71,False
南栅慢生活,5+2,0.58,False
烟雨江南咖啡,2+1,0.861,True
手艺人作坊,2+1,0.86,True
蚕丝被制作,3+4,0.699,False
自制方巾,3+4,0.746,True
西栅包摇橹船,2+3,0.646,False
提灯夜游,4+1,0.854,True
灯火星河,3+1,0.598,False
免费纸灯笼,2+3,0.688,False
露天电影,4+1,0.807,True
北斗湾,3+1,0.747,True
水边观影氛围感,5+2,0.743,True
戏剧表演,4+1,0.752,True
妈妈的故事,5+3,0.572,False
倾情演绎,4+1,0.82,True
感人,5+3,0.886,True
值得一看,5+3,0.672,False
意境,5+3,0.854,True
演员,4+1,0.712,False
茶咖,2+1,0.836,True
江南慢生活,5+2,0.757,True
临河,2+2,0.676,False
饭馆,2+1,0.927,True
竹蜻蜓,3+4,0.801,True
调酒,2+1,0.866,True
调酒师,2+1,0.787,True
骨髓松茸饭,3+4,0.641,False
三白,3+4,0.829,True
驻唱,4+1,0.888,True
二次方咖啡吧,2+1,0.913,True
遗迹,3+2,0.812,True
守护神,3+3,0.807,True
银杏树,3+1,0.859,True
