评论,打分,积极评价要素词汇_1,积极评价要素词汇_2,积极评价要素词汇_3,积极评价要素词汇_4,积极评价要素词汇_5,积极评价要素词汇_6,积极评价要素词汇_7,积极评价要素词汇_8,积极评价要素词汇_9,积极评价要素词汇_10,积极评价要素词汇_11,积极评价要素词汇_12,积极评价要素词汇_13,积极评价要素词汇_14,积极评价要素词汇_15,积极评价要素词汇_16,积极评价要素词汇_17,积极评价要素词汇_18,积极评价要素词汇_19,积极评价要素词汇_20,积极评价要素词汇_21,积极评价要素词汇_22,积极评价要素词汇_23,积极评价要素词汇_24,积极评价要素词汇_25,积极评价要素词汇_26,积极评价要素词汇_27,积极评价要素词汇_28,积极评价要素词汇_29,积极评价要素词汇_30,积极评价要素词汇_31,积极评价要素词汇_32,积极评价要素词汇_33,积极评价要素词汇_34
君到姑苏见人家尽枕河如果说苏州园林是江南缠绵的一面那么山塘街的人间烟火更像是一杯浓郁的美酒令人回味无穷每当夜幕降临街巷的盏盏红灯亮起仿佛穿越到盛唐我想周杰伦歌曲中的红尘客栈也许就是这里?山塘街被誉为姑苏第一名街唐代大诗人白居易曾在此任职距今已有千年历史街巷不长10分钟就能步行完白墙青瓦小桥流水这里保留了水乡的传统风貌让你不用去周庄乌镇也能感受到真江南??地点??苏州七里山塘景区交通??地铁2号线山塘街站拍摄机位????新民桥通贵桥两个最出片的地方从地铁站3号口出来步行200米就能看到TIPS?亮灯??冬季下午5点左右开灯此时配上夕阳西下和天空的蓝调满满的氛围感?游船?早8点至晚9点运营票价50元/人晚上山塘街两岸的夜景很美?周边游玩??虎丘留园艺圃拙政园西园寺都隔的不远,10,"山塘街,人间烟火,红灯,盛唐,红尘客栈,千年历史,白墙青瓦,小桥流水,水乡传统风貌,真江南,新民桥,通贵桥,亮灯,夕阳西下,蓝调氛围,游船,夜景,虎丘,留园,艺圃,拙政园,西园寺",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
??周庄古镇位于苏州市昆山市是江南六大古镇之一兴盛于北宋四面环水依水成街桥街相连井字型河道上完好保存着富安桥双桥太平桥等14座建于元明清各代的古石桥800多户原住民枕河而居60%以上的民居依旧保存着明清时期的建筑风貌??主要景点步行线路太平桥逸飞之家双桥古戏台张厅沈厅富安桥澄虚道院迷楼全福讲寺周庄博物馆??双桥建于明万历年间由一座石拱桥世德桥和一座石梁桥永安桥组成桥面一横一竖桥洞一方一圆样子很像是古时候人们使用的钥匙当地人便称之为钥匙桥??张厅是周庄镇仅存的少量明代建筑之一原名怡顺堂相传为明代中山王徐达之弟徐逵后裔于明正统年间所建清初卖给张姓人家改名玉燕堂俗称张厅张厅前后七进正厅玉燕堂有幅对联轿从门前进船自家中过来张厅可以直接把船划到家中来张厅后花园有小河箸径直通南湖花园中还有水池是用来给船只掉头的??沈厅原名敬业堂清末改为松茂堂由沈万三后裔沈本仁于清乾隆七年(公元1742年)建成共有七进五门楼由三部分组成前部是水墙门河埠供停靠船只洗涤之用中部是墙门楼茶厅正厅为接送宾客办理婚丧大事及议事之处后部是大堂楼小堂楼后厅为生活起居之处其有大小一百多间房屋是典型的前厅后堂的建筑格局沈厅的第五进中安放着江南豪富沈万三的坐像他的面前有金光闪闪的聚宝盆走进沈厅的每一个人都会对沈万三这个传奇人物产生浓厚的兴趣??富安桥旧集市的中心桥系花岗石质地单孔拱桥拱券分节并列砌置是江南水乡仅存的立体型桥楼合壁建筑??门票1003天内自由进出??? 开放时间全年全天早上730之前晚上2100之后免费??地址江苏省苏州市昆山市周庄镇??交通昆山南站到周庄古镇约36公里55分钟?,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
当日落染上橘色的天空古镇的青石板泛起光芒看窗外的小桥流水乌篷船悠悠荡荡河岸边的老茶馆里老人们闲聊着家常这一幕仿佛美卷如画[仙女R][仙女R]如果你也想来看看江南的水乡那这6个值得N刷的古镇你一定不要错过[露营灯R][露营灯R]乌镇氤氲的清晨你可以坐在在水边吃着早茶欣赏日出下午在茶馆里喝茶听老人家们闲聊着家常夕阳西下坐着摇橹船乌篷船悠悠荡荡穿梭在古镇的河道间[仙女R]打卡景点木心美术馆草木本色染坊月老庙水上集市矛盾纪念馆[哇R]美食推荐乌镇酱鸭白水鱼定胜糕羊肉面[露营灯R][露营灯R]周庄小桥流水古巷深深漫步在石板路上感受着历史的沉淀在这里你可以漫步古巷在小巷街道感受古镇的历史诉说[仙女R]打卡景点双桥卡沈万三故居周庄博物馆全福寺南湖春晓[哇R]美食推荐万三面周庄大闸蟹青团子万三蹄袜底酥[露营灯R]南浔古镇有湖州一个城不及南浔半个镇的说法南浔一个充满故事的地方既有江南水乡的柔情又有西方建筑的雄伟漫步在古镇感受着两种文化的交融仿佛能触摸到历史的脉络[仙女R]打卡景点小莲庄嘉业藏书楼张佑民旧宅百间楼张静江故居[哇R]美食推荐双交面千张包浔蹄风枵旁皮鱼[露营灯R][露营灯R]西塘古镇我本无意入江南奈何江南入我心烟雨蒙蒙长廊如梦这里是周杰伦歌曲中的红尘客栈白天可以在这里沿着河道漫步感受古镇的静谧烟火逛完古镇去烟雨长廊走走看看歌曲里的山水墨染[仙女R]打卡景点烟雨长廊古弄堂迎秀桥石皮弄西园[哇R]美食推荐叫花鸡桂花糕老马粉蒸肉...[露营灯R][露营灯R]同里古镇这里保留很多小镇的生活片段没有那么商业化小桥流水白墙戴瓦散步小巷三桥品尝烟火美食喝茶听曲体验园林静谧真的很惬意[仙女R]打卡景点退思园崇本堂三桥松石悟园珍珠塔[哇R]美食推荐太湖三白海棠糕状元蹄退思饼赤豆糕[露营灯R][露营灯R]甪直古镇甪直寓意着甪端能一直蹲守在这个风水宝地保护这一放的人民带来吉祥好运小桥流水古巷深深漫步在甪直古镇的石板路上在这里和村民聊天看这里的烟火人气仿佛回到了小时候的时光[仙女R]打卡景点保圣寺万盛米行沈宅萧宅[哇R]美食推荐秋香海棠糕梅农咖啡,10,"古镇原貌,商业水平不高,童年的梦,小桥流水,乌篷船,老茶馆,历史沉淀,文化交融,烟火人气,静谧烟火,园林静谧",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
你一句春不晚我就到了真江南江南古镇??中国第一水乡周庄游玩拍照攻略??江南水乡琉璃瓦绿墙倚上凌霄花??水乡小巷多人家尽枕河??听过无数描写江南古镇的诗句便会忍不住想去看看它的真实模样???乌镇商业西塘文艺安昌烟火?周庄更多了一丝婉转的温柔?明清老建筑依河而建船桨吱呀?划桨女唱着苏州小调充满诗情画意?石板路古桥都超级适合写生拍照??基本信息??景区苏州周庄古镇??门票88r老人儿童50??交通建议自驾或大巴车可到周庄??酒店住宿景区内有很多酒店民宿基本200r左右也挺干净住景区里面就很方便??周庄玩法攻略??漫步古镇白天到达后可以在古镇闲逛景点沈万三故居富安桥双桥怪楼等或去毛茶楼上份茶点看窗外摇橹船慢悠悠驶过十分惬意??下午茶周庄的悠闲让人只想享受这里的慢时光出门的时候在行李箱里放了一包芝士酥摆盘沏茶在民宿的庭院内就能享受古镇的美好独立包装干净卫生口感柔软淡淡的奶香沙沙的蛋黄颗粒??古镇拍照这里好适合汉服与旗袍写真走在清石小巷黛瓦白墙极具东方的美古镇内有汉服租赁??古镇游船黄昏的时候去坐一坐摇橹船晚风轻轻吹拂两岸的灯光亮起水面飘起雾气在一座座石桥下穿过你在看风景你也是别人的风景,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
你的一句春不晚我就到了真江南这个梗出自苏轼的惠崇春江晚景因为喜欢江南水乡的温婉定居在了苏州一直以为苏州的美没有那座江南城市可以超过直到我来了绍兴突然觉得还是有可以跟苏州媲美的江南水乡的.想把这座小城很真诚地推荐给大家但也怕这里被嘈杂的声音所扰动不管怎样带你看看我眼中的绍兴吧.??绍兴3??天2??夜游玩攻略Day1???苏州自驾出发抵达???东湖 ??十里荷塘????犭央(ang)犭茶(sang)湖????西小路历史街区?????入住绍兴市区Day2???仓桥直街????书圣故里????八字桥????鲁迅故里????兰亭 ???入住安昌古镇Day3??安昌古镇??柯桥古镇??苏州.??推荐必打卡的地方.1??犭央犭茶 湖ang sang建于明代的避风石塘古纤道小众到不能再小众的地方工作日来的话基本没人.2??东湖以崖壁岩洞石桥湖面巧妙结合也是绍兴的一大园林来此乘船进入岩洞仿若进入了桃花源记的世界.3??西小路藏在闹市里的江南水乡建筑层峦叠嶂好像现实版的江南百景图.4??环山路这里阴天晴天都别有一番韵味而且游人稀少街边的绿树配上粉墙黛瓦非常江南.5??兰亭这里有日本琉璃光院的同款天章之寺也有王羲之的真迹还有应景的大白鹅.6??安昌古镇这是非常小众的一个古镇里面有着老绍兴人的回忆不妨来此小住一日吧.7??柯桥古镇傍晚的柯桥古镇随着科技的光影这里成了江南的另一种画面.8??镜湖十里荷塘接天莲叶无穷碧映日荷花别样红在这里得以具像化.9??鲁迅故里做先生书迷访先生故里读了那么多年先生的书总要来次他的家乡吧.??仓桥直街江南烟火气最抚凡人心来这里感受绍兴人的慢生活.??注意现在小红书上线了100天运动打卡挑战活动可以参与领取背包挂件等哦跟我一样带着可爱的包挂一起旅行环游世界吧,9,"江南水乡,温婉,东湖,十里荷塘,犭央犭茶湖,西小路历史街区,仓桥直街,书圣故里,八字桥,鲁迅故里,兰亭,安昌古镇,柯桥古镇,镜湖,十里荷塘,鲁迅故里,江南烟火气,慢生活",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
同里位于苏州太湖之畔古运河之东属于江苏省苏州市吴江区建于宋代至今已有1000多年历史同里古名富土唐初称铜里宋建镇改为同里同里镇有三多名人多明清建筑多水桥多同里镇为江南六大著名水乡古镇周庄同里甪直西塘乌镇南浔之一为五个湖泊所环抱川字形的15条小河将镇区分割成七个小岛而49座古桥又将其连成一体形成水巷小桥多人家尽枕河的独特景观是江南典型的小桥流水人家的水乡古镇2003年同里古镇被列入第一批中国历史文化名镇名单2010年被国家旅游局评定为5A级旅游景区同里是个文化古镇出过很多名人自宋代至清末先后出过状元1名进士42名文武举人93人深厚的文化底蕴自然造就了丰富的文物古迹单是保存完好的明清建筑就达6.5万平方米占古镇总建筑面积的61%在街道之间弄堂较多如尤家弄仓场弄西弄等镇中至今还保留着不少明清建筑如退思园崇本堂嘉荫堂耕乐堂环翠山庄三谢堂侍御第卧云庵城隍庙尚义堂等园林和古建筑同里最出名的景点当属一园两堂三桥一园指退思园两堂指嘉荫堂和崇本堂三桥指太平桥吉利桥和长庆桥除此之外另外还有全国重点文物保护单位耕乐堂等也值得一看其门洞西侧上方刻有得返自然四个大字正是对耕乐园最好的诠释退思园位于同里镇东溪街建于清光绪十一年至十三年园主任兰生退思园是一座私家花园取左传中进思尽忠退思补过之意全园以水为主贴水而筑全园简朴淡雅水面过半景色宜人退思园集清代园林建筑之长园内的每一处建筑既可独自成景又与另一景观相对应具有步移景异之妙堪称江南古典园林中的经典之作2000年联合国教科文组织世界遗产委员会将退思园作为苏州古典园林扩展项目列入了世界遗产名录同里镇内街巷逶迤河道纵横因而也就留下了众多建于宋以后各个朝代的古桥40多座其中著名的成品字形架设在河道上的三桥太平桥吉利桥长庆桥是昔时同里婚嫁花轿必经之桥象征着吉祥和幸福同里人家添丁婚嫁做寿都有走三桥的习俗祈求太平美满吉利据说镇上凡逢老人六十六岁生日午餐后必定也去走三桥以图吉利,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
唐风孑遗宋水依依烟雨江南碧玉周庄周庄一个有着九百多年历史的江南水乡古镇有近百座古宅院第和六十多座砖雕门楼过街骑楼和水墙门随处可见堪称江南水乡的经典今日周庄townwalk一起来打卡古建吧走马楼真能走马环坏绕绕复道行空串联起百年一梦??沈厅沈厅原名敬业堂清末改为松茂堂由江南巨富沈万三的后裔沈本仁于清乾隆七年公元1742年建成沈厅的整个厅堂是典型的前厅后堂建筑格局前后楼屋之间均由过街楼和过道阁连接形成一个环通的走马楼它通过楼道将第六进小堂楼一直到第二进门厅的楼间全部连接环通周长200米为同类建筑中所少见开船来我家后院?兜兜转转暗藏玄机铺散开一池莲蓬??张厅张厅原名为怡顺堂为明代中山王徐达之弟徐逵后裔于明正统年间所建是周庄镇仅存的少量明代建筑之一张厅最惊艳的在于后花园暗藏的河道从园南入水乘小舟穿屋而过水池驳岸上嵌有各式各样的缆船石池水与外界相通确是一派轿从门前进船自家中过的水乡奇景钥匙桥打开新门?层层叠叠方圆能周虽是异道也相安??双桥双桥建于明代万历年间拱桥叫世德桥平桥唤作永安桥两者呈十字交错沟通南北东西连在一起的石桥一长一短桥面一横一竖桥洞一方一圆极像古时开木锁的丁字形钥匙因而当地人习惯称它钥匙桥1983年春画家陈逸飞来到周庄创作了以双桥为原型的画作故乡的回忆周庄双桥引起世人瞩目这把钥匙同样打开了周庄的大门周庄从此走向了世界周庄环境幽静坐在船上游览穿桥过洞颇有情趣建筑古朴极具江南水乡建筑之美随便的一块砖一片瓦捡拾起来都刻着一段精彩的故事,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
傍晚夕阳的余晖为古镇镀上一层暖金波光粼粼的河面与岸边的古桥屋舍相互映衬美到让人失语这一刻仿佛能触摸到岁月的纹理古人小桥流水人家的闲适生活也不过如此吧 漫步其间时光都变得温柔缓慢每一处景致都藏着江南独有的韵味,10,"夕阳, 余晖, 古镇, 暖金, 波光粼粼, 河面, 古桥, 屋舍, 岁月, 纹理, 小桥流水人家, 闲适生活, 漫步, 时光, 温柔缓慢, 景致, 江南, 韵味",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
慢品人间烟火闲观小桥流水,9,"慢品,人间烟火,闲观,小桥流水",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
烟雨周庄青石板路被雨水浸润得发亮蜿蜒曲折的巷道不知通向多少尘封的故事漫步其间仿佛能听见历史的跫音在脚下回响雨滴顺着飞檐坠落在地面溅起细小的水花与远处传来的评弹声交织谱成一曲江南小调导航至富贵园停车场免费停车且靠近景区入口高铁到苏州或昆山再打车前往或乘坐去周庄的班车也可选择上海11号线花桥站换乘游7路可达周庄门票??: 50元 周末100元设备:索尼a7r3 适马24-70关于调色可看个人资料,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华灯初上一明一灭周庄的夜晚如梦似幻如果说白天的周庄是烟火人间那么夜晚更像辛弃疾笔下的灯火阑珊处?Bryan第四次来江南这次从苏州开始难得的好天气让我拍到了周庄的绝美霞光拍摄地点??1?富安桥图1272?兴隆桥图3453?贞丰桥图64?双桥图2下5?贞丰街图8地点??苏州昆山周庄古镇门票??100元3天内自由进出21:30后07:30前可免票进入交通??苏州方向地铁4号线到同里站后转乘725公交抵达昆山方向公交坐到周庄新牌坊自驾更便捷游玩路线????古牌楼-青龙桥-双桥-富安桥-兴隆桥-贞丰桥-隆兴桥沈厅张厅周庄博物馆这些景点也值得逛逛??古镇不大2-3小时就可以逛完河道两边都是精华路线双桥富安桥兴隆桥附近拍照很出片TIPS?夜景拍摄指南??照片拍摄于晴天日落后的15-30分钟此时是蓝调时刻天空由橙到蓝的渐变很唯美再往后天就很黑了日落时间可以查看天气预报?由于交通不便周庄游客没有乌镇和西塘多工作日更是寥寥无几空镜随便拍@本地薯 @生活薯 @摄影薯,9,"华灯初上,周庄,夜晚,如梦似幻,烟火人间,灯火阑珊处,绝美霞光,富安桥,兴隆桥,贞丰桥,双桥,贞丰街,古镇,河道,精华路线,沈厅,张厅,周庄博物馆,夜景,蓝调时刻,渐变,出片,游客较少,空镜随便拍",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我本无意去江南奈何江南区我心??佳能R5+RF70-200 F2.8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
接下来的苏州是一万次的春和景明12周庄古镇石榴花36网师园海棠花79上方山樱花1011耦园玉兰花1415狮子林玉兰花1618双塔玉兰花-苏州赏花期在35月来苏州赏花记得去吃苏雅兴?文人苏式面馆就在拙政园边上松鼠桂鱼焖肉等浇头都好正宗好吃??,9,"苏州,春和景明,周庄古镇,网师园,上方山,耦园,狮子林,双塔,苏雅兴,文人苏式面馆,拙政园,松鼠桂鱼,焖肉浇头,正宗好吃",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
苏州虽然有不少旅游景点但不是每个景点都是值得去的来看看苏州本地人对苏州景点的印象???仅个人观点一定要仔细看??全是干货??真的不允许还有姐妹来苏州不知道怎么玩????????行程分享DAY1 拙政园苏州博物馆狮子林平江路观前街七里山塘DAY2 留园西园寺虎丘七里山塘DAY3 网师园十全街双塔市集东方之门金鸡湖??美食清单??李百蟹他家的蟹全宴堪称一绝将蟹身上的蟹黄蟹膏蟹肉蟹腿等不同部位精心处理后分别呈上可以尽情享受蟹的各种美味还有甜品糯叽叽也很好吃??晚园苏式火锅晚园的苏式火锅极具特色与常见的川式火锅不同它多了一份江南水乡的温婉感店内的南园贡菜牛肉丸口感鲜美牛肉丸的弹性与贡菜的爽脆交织在一起给味蕾带来盛宴甜品糯叽叽也很好吃??探花意境江南菜他们家的松鼠桂鱼油爆虾苏银鱼炒蛋东坡肉等都很好吃招牌花酒值得一试??姑苏船宴 山塘河景 苏帮菜姑苏船宴 平江河景 苏帮菜一种极具江南水乡特色的用餐体验将美食与游船相结合让游客在欣赏苏州美景的同时品尝到地道的苏帮菜推荐他们家的红烧肉东坡肉甜品糯叽叽很好吃?,9,"古镇原貌,商业水平不高,童年的梦,苏州景点,拙政园,苏州博物馆,狮子林,平江路,观前街,七里山塘,留园,西园寺,虎丘,网师园,十全街,双塔市集,东方之门,金鸡湖,李百蟹,蟹全宴,晚园苏式火锅,南园贡菜牛肉丸,探花意境江南菜,松鼠桂鱼,油爆虾,苏银鱼炒蛋,东坡肉,招牌花酒,姑苏船宴,山塘河景,平江河景,苏帮菜,红烧肉,糯叽叽",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
世界上只有苏州才有的八大古镇你打卡过几个,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
叶方水彩马蒂尼布格罗八开中纹水彩本周庄,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
烟雨周庄青石板路被雨水浸润得发亮蜿蜒曲折的巷道不知通向多少尘封的故事漫步其间仿佛能听见历史的跫音在脚下回响雨滴顺着飞檐坠落在地面溅起细小的水花与远处传来的评弹声交织谱成一曲江南小调导航至富贵园停车场免费停车且靠近景区入口高铁到苏州或昆山再打车前往或乘坐去周庄的班车也可选择上海11号线花桥站换乘游7路可达周庄门票??: 50元 周末100元设备:索尼a7r3 适马24-70关于调色可看个人资料,9,"烟雨, 青石板路, 巷道, 尘封的故事, 历史的跫音, 评弹声, 江南小调, 免费停车, 靠近景区入口, 门票价格合理",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
??周庄古镇景区简介周庄古镇位于苏州城东南昆山吴江上海三地交界处是世界文化遗产预选地首批国家5A级旅游景区周庄古镇四面环水因河成镇依水成街以街为市是一座江南小镇有中国第一水乡之美誉小镇内古桥居多且桥桥相望桥桥相连至今仍保存着建自元明清代的石桥坐在船上游览穿桥过洞颇有情趣???周庄古镇必去打卡点沈厅 ? 沈厅是江南富豪沈万三的祖宅是江南水乡保存规模最大的走马楼张厅 ? 典型明代官宅是当时殷富人家的宅第双桥 ? 建于明代两桥相连样子很像古代的钥匙又称钥匙桥周庄博物馆 ?被誉为一座活态的江南水乡古镇南湖秋月园 ? 南湖是周庄濒临的一片大湖望湖楼九曲桥等临池而筑纸箱王主题创意园区 ? 园内充满着精致的纸艺品有纸箱做的动物财神桌椅小火车等???周庄古镇游园路线太平桥逸飞之家双桥张厅沈厅富安桥澄虚道院迷楼周庄博物馆???周庄古镇必吃店铺??鑫震源古镇必去的一家店窗户位置很好必点招牌生煎老卤虎皮鸡爪???烟雨人家环境超好性价比很高的一家餐厅必点油爆虾豆豉鱼???蟹伙计周庄网红蟹黄面必点蟹黄面醉虾???沐澜餐厅必点鲍鱼烧鸡昂刺鱼烧凤爪响油鳝丝???万三食府环境宽敞舒适老板热情周到必点清蒸白丝鱼银鱼炒蛋万三蹄???孙福昌百年老店品种繁多都是当地特色小吃必点海棠糕青团子桂花糖藕???偶遇轩小吃本地人推荐的面馆必点奥灶面牛肉面???江南味道私房菜性价比拉满的淮扬菜馆必点白灼大头虾蟹炒年糕银鱼炒蛋???周庄古镇特色美食万三蹄奥灶面万三糕阿婆菜???周庄古镇特产/伴手礼袜底酥苏绣团扇万三肘子???游玩小 tips1.自驾的可以停富贵园停车场免费且距离古镇近不要相信收费的2.周庄日游门票可以无限次进出景区3天在检票口登记一下就行3周庄夜景很有特色可以在景区附近住一晚周边酒店性价比挺高的晚上有光影秀表演可以夜游周庄4周庄古镇的景点是环形分布的游览很方便游览顺序根据自己情况调整,9,"古镇原貌,水乡风情,古桥,石桥,沈厅,张厅,双桥,周庄博物馆,南湖秋月园,纸箱王主题创意园区,游园路线,太平桥,逸飞之家,富安桥,澄虚道院,迷楼,鑫震源,生煎,老卤虎皮鸡爪,烟雨人家,油爆虾,豆豉鱼,蟹伙计,蟹黄面,醉虾,沐澜餐厅,鲍鱼烧鸡,昂刺鱼烧凤爪,响油鳝丝,万三食府,清蒸白丝鱼,银鱼炒蛋,万三蹄,孙福昌,海棠糕,青团子,桂花糖藕,偶遇轩,奥灶面,牛肉面,江南味道私房菜,白灼大头虾,蟹炒年糕,银鱼炒蛋,万三蹄,奥灶面,万三糕,阿婆菜,袜底酥,苏绣团扇,万三肘子,夜景,光影秀表演",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hi大家好我是Jason上海新场古镇真的太好逛啦一踏入古镇悠悠的江南水乡气息扑面而来这里既有烟火气息的商业老街又有文艺小众的古镇风情从街头到巷尾步步皆是美味诱惑古宅古院古桥青石板路江南水乡氛围感拉满攻略图见??图1718带上攻略赶紧出发吧??打卡攻略?古镇小吃美食主要集中在??牌楼西路以北图18打卡点1游客较多?古镇人文景点主要集中在??牌楼西路以南图18打卡点23游客较少适合拍照?特色美食下沙笋肉烧卖王记海棠糕鸡汤豆腐花草头塌饼臭豆腐汤圆?必打卡点三世二品坊Diyi楼茶园洪福桥千秋桥新场历史文化陈列馆周一闭馆南山寺康家宅沿河长廊烟雨长廊新场水桥?特色地点1??一期一会书吧临河咖啡馆拍ins风窗景2??四库书房淘伴手礼拍新中式风3??竹编坊买小众纪念品看手艺表演4??江南Diyi楼茶园体验老上海茶文化拍复古风5??奚家厅药斑布坊DIY体验感受非遗文化6??缶+文创空间拍ins风淘设计师小物7??康家班土布馆定制复古服饰拍怀旧风8??小半有光杂货铺淘治愈系小物拍小清新??出行交通??定位上海浦东新区新场古镇??交通导航到海泉街停车场6R/H)??交通地铁16号线至新场站下车打车10分钟或乘公交628路直达古镇??Tips??有疑问或希望我去哪里打卡欢迎留言??关注点赞Jason带你去看更多魔都攻略,9,"古镇原貌,江南水乡气息,烟火气息,商业老街,文艺小众,古镇风情,美味诱惑,古宅,古院,古桥,青石板路,江南水乡氛围,小吃美食,人文景点,特色美食,必打卡点,三世二品坊,Diyi楼茶园,洪福桥,千秋桥,新场历史文化陈列馆,南山寺,康家宅,沿河长廊,烟雨长廊,新场水桥,一期一会书吧,临河咖啡馆,四库书房,竹编坊,江南Diyi楼茶园,奚家厅药斑布坊,缶+文创空间,康家班土布馆,小半有光杂货铺",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?? 特别推荐景点??1?? 拙政园??- 中国四大名园之一四季变换美景如画- ?? 地址苏州市平江区东北街178号- ?? 开放时间7:30-17:30- ?? 门票旺季90元淡季70元2?? 虎丘???- 吴中第一山斜塔奇观古迹众多- ?? 地址苏州市虎丘山门内8号- ?? 开放时间7:30-17:00- ?? 门票旺季80元淡季60元3?? 平江路??- 历史文化街区古色古香小桥流水- ?? 地址苏州市平江区平江路- ?? 开放时间全天- ?? 门票免费4?? 苏州博物馆 ???- 贝聿铭封山之作现代与古典的完美结合- ?? 地址苏州市东北街204号- ?? 开放时间9:00-17:00周一闭馆- ?? 门票免费5?? 周庄/同里??- 江南水乡古镇感受最原汁原味的江南风情- ?? 地址苏州市昆山市周庄镇/苏州市吴江区同里镇- ?? 开放时间全天- ?? 门票周庄100元同里100元?? **避坑指南** ??1?? **谨防黑导游和黑车** ??- 选择正规旅行社或导游服务避免被带往购物点或高价景点2?? **理性消费谨防宰客** ??- 在景区内购买商品或用餐时注意查看价格避免被宰客3?? 注意天气变化?- 出行前关注天气预报准备好雨具和防晒用品?? 旅行小贴士 ??- 苏州的美食推荐品尝松鼠桂鱼碧螺虾仁奥灶面等特色美食- 苏州的夜景推荐夜游山塘街或金鸡湖感受不一样的苏州风情?? 苏州一座充满诗意的城市等待你来探索??,8,"古镇原貌,江南风情,历史文化,小桥流水,古色古香,四季变换,美景如画,贝聿铭设计,现代与古典结合,斜塔奇观,古迹众多",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
船是春风的逗号桥是水波的韵脚周庄橹声私语船娘轻点长篙日与夜在橹声中流转风情白日里古桥是水墨长卷的筋骨入夜后灯影为河面铺就星汉银河且随古镇水巷游共赏周庄的双面叙事???日游篇涟漪荡开水面上桥的倒影每一座古桥都藏着一段与舟楫共生的故事??船行至富安桥下抬头可见桥身四角的飞檐挑起听闻沈万三的商船满载白银皆从这桥洞穿行铜钱纹石阶沾过富贵气??摇啊摇摇到了梦里呢喃的外婆桥船桨推开碧波船身缓缓穿过低矮桥洞青石板在头顶投下斑驳光影仿佛回到了儿时与家人共度的闲暇午后??在船上拍双桥是最完美的角度小船经过柳树刚刚抽条的枝丫从世德桥的圆拱穿出又滑入永安桥的方孔陈逸飞画故乡的回忆时便是乘船于此徘徊终日你看那桥影入水可像一把钥匙??夜游篇夕阳西斜夜航船悄悄推开月光桨声灯影里一片夜泊星河好景象??飞檐挑起琉璃灯双桥在夜色中愈发温润船娘哼唱吴歌圆拱桥影裹着灯晕浮沉桥影灯影共织琉璃梦境??南北市河后港街的灯光柔美宁静?船行过处两岸灯笼轻晃水波揉碎灯火随手一拍皆是缱绻的江南剪影??忽见船头跃起一尾红鲤原是远处的投影飘进了河面树影婆娑间花巷雨巷鱼池岸的光影秀在古镇的各个角落流动真正的周庄不在岸上而在船与水的缝隙里谁说春困难消且来周庄枕一船橹声让富安桥的茶香替你扫尽倦意让双桥的月影替你写完春天的诗????航线指南??220元/船1-6人?约20分钟?营业时间8:00-20:00??上船地点古镇水巷游码头沈厅对岸??日游线古镇水巷游码头通秀桥北码头??夜游线古镇水巷码头博物馆码头,10,"古镇原貌,商业水平不高,童年的梦,古桥,水墨长卷,星汉银河,富安桥,沈万三,外婆桥,双桥,橹声,灯影,吴歌,投影,光影秀,船与水,橹声,茶香,月影,春天的诗",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
周庄确实是好出片江南的白墙需有斑驳的水痕青苔才像样不然哪哪儿都不对,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
漫步周庄古镇心情悠然而惬意古镇石街老店绿树绿水游船小桥流水人家古墙青瓦老店好一派江南水乡风光,10,"古镇,石街,老店,绿树,绿水,游船,小桥,流水,人家,古墙,青瓦,江南水乡风光",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
为了看一场种草已久的江南水乡古镇实景演出只此周庄我特意去了趟苏州??????不愧是苏州必看演出呈现了900年的周庄历史文化穿越到宋朝的江南水乡一场梦境多个实景演绎了千年前宋朝的繁华实景真的太惊艳了,9,"江南水乡,古镇,实景演出,周庄,苏州,历史文化,宋朝,梦境,繁华,惊艳",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
