评论,打分,积极评价要素词汇_1,积极评价要素词汇_2,积极评价要素词汇_3,积极评价要素词汇_4,积极评价要素词汇_5,积极评价要素词汇_6,积极评价要素词汇_7,积极评价要素词汇_8,积极评价要素词汇_9,积极评价要素词汇_10,积极评价要素词汇_11,积极评价要素词汇_12
上海朱家角最有韵味的江南古镇生了孩子后这几年就没再去过朱家角古镇今天天气不错带娃去了趟不得不说如果不出上海想要体验一趟江南古镇朱家角真的是不二选择保姆级攻略奉上自驾停车朱家角古镇停车场20元/天门票免费推荐路线古镇游客中心课植园放生桥酱园园津禅院城隍庙大清邮局推荐美食阿婆粽(店铺很多买过几次感觉口味都差不多盐水河虾可以当零嘴小朋友很喜欢 银鱼炒蛋 水芹菜炒干丝祖传酱菜打卡地大清邮局相当推荐门口清朝的邮筒拍照历史感满满里面是文创中心小朋友可以去敲各式各样的章大人可以喝咖啡对面景色也相当好课植园中西合璧的庄园式私家花园要去的朋友注意时间5点禁止入内放生桥上海现存蕞大蕞长的五孔石拱桥整座桥很大但是坡度很低走上去看下河景很惬意以前去还有看过很多人放生乌龟和鱼今天倒是没见着酱园适合打卡拍照里面卖的各种酱料酱菜腌萝卜.喜欢的朋友可以带些回去下稀饭挺不错Tips1古镇里面很多簪花换装店可以化妆拍打卡照2古镇周边都是居民区运气好能遇到本地菜农在卖菜可以顺便带回一些新鲜蔬果回家尤其是水芹菜倒是不多见的[鼓掌R]3走过放生桥有各种小食咖啡店 延河的景观位都不错还好几家撸猫馆爱猫者打发时间不错的选择Anyway天气适宜朱家角很适合带上家人朋友沿着小河边散散步看看穿梭往来的船只远离高楼建筑体验江南水乡吃点小吃点杯茶或者咖啡何尝不是一种享受,9,"朱家角,江南古镇,孩子,天气,上海,体验,不二选择,自驾停车,古镇停车场,门票免费,古镇游客中心,课植园,放生桥,酱园,园津禅院,城隍庙,大清邮局,阿婆粽,盐水河虾,银鱼炒蛋,水芹菜炒干丝,祖传酱菜,大清邮局,清朝,邮筒,拍照,历史感,文创中心,课植园,中西合璧,庄园式私家花园,放生桥,五孔石拱桥,河景,酱园,打卡拍照,酱料,酱菜,腌萝卜,簪花换装店,化妆拍打卡照,古镇周边,居民区,本地菜农,新鲜蔬果,水芹菜,小食咖啡店,景观位,撸猫馆,爱猫者,打发时间,家人朋友,小河边散步,穿梭往来的船只,江南水乡,小吃,茶,咖啡,享受",,,,,,,,,,,
"如果你看腻了上海外滩的夜景不妨来一次朱家角古镇吧走走石板路坐坐小摇船感受一下小桥流水人家,你会发现一切都值得",9,"石板路,小摇船,小桥流水人家",,,,,,,,,,,
Hi大家好我是Jason上海新场古镇真的太好逛啦一踏入古镇悠悠的江南水乡气息扑面而来这里既有烟火气息的商业老街又有文艺小众的古镇风情从街头到巷尾步步皆是美味诱惑古宅古院古桥青石板路江南水乡氛围感拉满攻略图见图1718带上攻略赶紧出发吧打卡攻略古镇小吃美食主要集中在牌楼西路以北图18打卡点1游客较多古镇人文景点主要集中在牌楼西路以南图18打卡点23游客较少适合拍照特色美食下沙笋肉烧卖王记海棠糕鸡汤豆腐花草头塌饼臭豆腐汤圆必打卡点三世二品坊Diyi楼茶园洪福桥千秋桥新场历史文化陈列馆周一闭馆南山寺康家宅沿河长廊烟雨长廊新场水桥特色地点1一期一会书吧临河咖啡馆拍ins风窗景2四库书房淘伴手礼拍新中式风3竹编坊买小众纪念品看手艺表演4江南Diyi楼茶园体验老上海茶文化拍复古风5奚家厅药斑布坊DIY体验感受非遗文化6缶+文创空间拍ins风淘设计师小物7康家班土布馆定制复古服饰拍怀旧风8小半有光杂货铺淘治愈系小物拍小清新出行交通定位上海浦东新区新场古镇交通导航到海泉街停车场6R/H)交通地铁16号线至新场站下车打车10分钟或乘公交628路直达古镇Tips有疑问或希望我去哪里打卡欢迎留言关注点赞Jason带你去看更多魔都攻略,10,"古镇,江南水乡,商业老街,古镇风情,美味诱惑,古宅,古院,古桥,青石板路,江南水乡氛围,游客,人文景点,特色美食,三世二品坊,Diyi楼茶园,洪福桥,千秋桥,新场历史文化陈列馆,南山寺,康家宅,沿河长廊,烟雨长廊,新场水桥,一期一会书吧,四库书房,竹编坊,江南Diyi楼茶园,奚家厅药斑布坊,缶+文创空间,康家班土布馆,小半有光杂货铺",,,,,,,,,,,
没被吃掉,4,,,,,,,,,,,,
朱家角江南古镇的诗意栖息3.5小时轻松打卡从园林到美食一网打尽推荐线路:游客中心  课植园  和心园   清代舒宅角里大院饭店  朱市大集   角裡朱阿婆小吃館  放生桥  吴字坊臭豆腐  奈雪的茶  一芽一葉  银杏树阿婆粽  圆津禅院  涵大隆酱园   城隍庙 大清邮局 城隍庙码头 课植园码头乘船 停车场(游客中心),1,,,,,,,,,,,,
朱家角古镇 穿越千年的水乡梦境你绝对不能错过的旅游胜地Hey小仙女们 今天带你们走进一个充满文化底蕴和历史故事的宝藏古镇朱家角 这里不仅是上海的后花园更是江南水乡的缩影绝对是你旅游清单上的必打卡之地 千年古镇的韵味朱家角古镇位于上海市青浦区有着1700多年的历史是江南六大古镇之一 这里的每一块石板每一座桥梁都仿佛在诉说着古老的故事 漫步在古镇的街巷你会感受到浓浓的历史气息仿佛穿越回了那个繁华的明清时代桥与水的浪漫朱家角著名的就是它的桥了 这里有36座古桥每一座都有它独特的故事比如放生桥是古镇的标志性建筑传说在这里放生可以带来好运哦 还有泰安桥据说走过这座桥的人都会平安顺遂 这些桥不仅是交通要道更是古镇的灵魂所在 旅游攻略吃住行全搞定美食推荐朱家角的美食可是不能错过的 一定要尝尝当地的粽子酱鸭和青团味道绝对让你回味无穷住宿推荐古镇内有很多特色民宿推荐住在水边的客栈晚上听着水声入睡别有一番风味交通指南从上海市区出发乘坐地铁17号线到朱家角站再步行10分钟就能到达古镇非常方便 拍照打卡点美照拍不停放生桥这里是朱家角的标志性建筑拍出来的照片绝对能刷爆朋友圈北大街古色古香的街道两旁的店铺和灯笼随便一拍都是大片课植园这是一个典型的江南园林园内的假山池塘和亭台楼阁都是拍照的好背景 你最喜欢朱家角的哪个景点 快来评论区告诉我或者你有什么旅游推荐和旅游咨询都可以留言哦 让我们一起分享旅游的快乐吧关注我解锁更多旅行灵感,1,,,,,,,,,,,,
有多少人看过周生如故为他们的爱情哭红了眼[哭惹R]今天给大家带来的酒店就是一生一世中周生辰的家打卡剧中同款场景一起做一回剧中人[斜眼R],9,"周生如故,一生一世,周生辰,剧中人",,,,,,,,,,,
阴雨天更有江南烟雨的美本身的暗调加上我们的补光灯会更加衬托主体纸伞或油纸伞是江南雨景的经典元素可增加画面层次感江南烟雨的美靠自然与人文交融用心记录才能让人感受到那份诗意的动人,9,"阴雨天,江南烟雨,暗调,补光灯,主体,纸伞,油纸伞,经典元素,画面层次感,自然,人文,诗意,动人",,,,,,,,,,,
"上海土著血泪总结这5个""不要""千万记住来上海玩的小伙伴注意啦这些坑我帮你们踩过了看完这篇直接省下1000块一不要豫园城隍庙游客多到爆炸物价高得离谱要去朱家角古镇上海版威尼斯小桥流水超好拍粽子扎肉油墩子...地道美食吃到撑建议傍晚去 夜景绝美还能避开人流二不要南京东路全国统一的步行街 节假日人挤人要去淮海中路潮人聚集地TX淮海K11逛到腿软网红店扎堆 随手一拍都是大片详细攻略看我主页置顶三不要外滩人挤人旅游团多到怀疑人生要去苏州河滨本地人私藏的""塞纳河畔""邮政博物馆+乍浦路桥超出片2元轮渡直达陆家嘴 三件套随便拍四不要东方明珠门票贵还要排长队要去朵云书院52层高空书店 一杯咖啡钱看全景记得提前3天预约窗边位超抢手五不要外滩观光隧道50块看个寂寞 纯纯大冤种要坐浦江轮渡2块钱的快乐日落时分美到哭东金线/东复线都超值这些坑我都帮你们踩过了跟着玩绝对不踩雷还有什么想知道的评论区问我呀",8,"朱家角古镇,小桥流水,地道美食,夜景绝美",,,,,,,,,,,
上海雨季生存指南 i人/e人都能嗨1雨天路过复兴公园新海诚漫画中的言叶之庭2思南公馆玫瑰故事同款在刘亦菲同款玻璃房喝热红酒等雨滴从巴洛克窗棂滑落3去朱家角古镇喝茶get烟雨江南既视感4去徐家汇书院打卡最美图书馆认真读完一本书5 Jump360室内蹦床暴雨天释放多巴胺6前滩太古里茑屋书店雨天限定书雨套餐7去一尺花园听雨看书喝咖啡i人极度舒适8去宝山寺吃斋祈福品茶9去上海海洋水族馆打卡海底世界多抓鱼循环商店窝在二手书堆里听黑胶淘绝版小说+中古餐具雨天淘货人少11涟泉大江户泡完碳酸泉吃免费夜宵暴雨天在榻榻米区玩Switch社恐可选单人洞穴汤池12上海图书馆东馆7楼空中花园听雨看书落地窗正对世纪公园湖景带保温杯接免费热水超治愈13龙华寺雨斋茶会听檐角铜铃与雨声合奏吃素斋抄心经平心静气14愚园路tufting突突馆雨天打毛线最治愈雨天不是生存挑战是城市写给浪漫主义者的诗 你的雨季必去清单是______,1,,,,,,,,,,,,
一半绍兴一半苏州的感觉,8,"绍兴,苏州,感觉",,,,,,,,,,,
发现古镇里有家烤乳扇的小店老板一开口就能听出来不是上海本地人瘦瘦的大姐自称是云南人会热情的跟我介绍她的家乡美食乳扇烤乳扇的时候除了玫瑰酱还加了花生跟我在大理街上吃到的味道一样深得我心老板和我一样也是生活在朱家角的外地人,9,"烤乳扇,老板,云南人,家乡美食,乳扇,玫瑰酱,花生,大理街上,味道,外地人",,,,,,,,,,,
在朱家角剪了个头像为传承传统技艺的手艺人点赞,9,"朱家角,头像,传承,传统技艺,手艺人",,,,,,,,,,,
一过桥洞便到了江南,8,江南,,,,,,,,,,,
作为上海近郊的免费古镇朱家角不仅交通便利还拥有独特的魅力 从朱家角地铁站出发三种方式轻松抵达古镇1 步行20分钟享受自然风光2 乘坐公交快速到达3 乘坐观光船40元/人享受水乡风情 推荐游玩路线朱家角游客中心课植园20元和心园30元阿婆茶楼放生桥泰安桥圆津禅寺10元城隍庙大清邮局步行返回朱家角地铁站 朱家角不容错过的景点 放生桥上海最大的五孔石拱桥历史感十足 圆津禅寺登高望远拍摄古镇全景体验祈福的宁静 廊桥木质结构别具一格傍晚时分别有情调 大清邮局历史悠久现为咖啡文创店还有邮票展览 课植园江南园林精华园内水稻种植别出心裁 和心园小巧精致一步一景展示私人藏品 美食推荐朱家角物价亲民沿河小餐馆众多特色白水鱼不容错过商业区还有星巴克麦当劳肯德基等连锁餐饮 小贴士 游船200元/船可拼船节省成本 避开节假日高峰享受更宁静的游玩体验 建议游玩时间3小时夜晚的朱家角同样迷人 朱家角古镇一个值得多次探访的地方无论是白日的宁静还是夜晚的灯火都让人流连忘返快来体验这个充满魅力的古镇吧 ,10,"上海近郊,免费古镇,朱家角,交通便利,独特魅力,自然风光,水乡风情,放生桥,历史感十足,圆津禅寺,登高望远,古镇全景,祈福宁静,廊桥,木质结构,别具一格,大清邮局,历史悠久,咖啡文创店,邮票展览,课植园,江南园林精华,水稻种植,和心园,小巧精致,私人藏品,物价亲民,沿河小餐馆,特色白水鱼,商业区,星巴克,麦当劳,肯德基,游船拼船,避开节假日高峰,夜晚迷人,灯火流连忘返,多次探访",,,,,,,,,,,
Hi大家好我是Jason上海新场古镇真的太好逛啦一踏入古镇悠悠的江南水乡气息扑面而来这里既有烟火气息的商业老街又有文艺小众的古镇风情从街头到巷尾步步皆是美味诱惑古宅古院古桥青石板路江南水乡氛围感拉满攻略图见图1718带上攻略赶紧出发吧打卡攻略古镇小吃美食主要集中在牌楼西路以北图18打卡点1游客较多古镇人文景点主要集中在牌楼西路以南图18打卡点23游客较少适合拍照特色美食下沙笋肉烧卖王记海棠糕鸡汤豆腐花草头塌饼臭豆腐汤圆必打卡点三世二品坊Diyi楼茶园洪福桥千秋桥新场历史文化陈列馆周一闭馆南山寺康家宅沿河长廊烟雨长廊新场水桥特色地点1一期一会书吧临河咖啡馆拍ins风窗景2四库书房淘伴手礼拍新中式风3竹编坊买小众纪念品看手艺表演4江南Diyi楼茶园体验老上海茶文化拍复古风5奚家厅药斑布坊DIY体验感受非遗文化6缶+文创空间拍ins风淘设计师小物7康家班土布馆定制复古服饰拍怀旧风8小半有光杂货铺淘治愈系小物拍小清新出行交通定位上海浦东新区新场古镇交通导航到海泉街停车场6R/H)交通地铁16号线至新场站下车打车10分钟或乘公交628路直达古镇Tips有疑问或希望我去哪里打卡欢迎留言关注点赞Jason带你去看更多魔都攻略,9,"江南水乡,烟火气息,商业老街,文艺小众,古镇风情,美味诱惑,古宅,古院,古桥,青石板路,氛围感,人文景点,特色美食,三世二品坊,Diyi楼茶园,洪福桥,千秋桥,新场历史文化陈列馆,南山寺,康家宅,沿河长廊,烟雨长廊,新场水桥,一期一会书吧,四库书房,竹编坊,江南Diyi楼茶园,奚家厅药斑布坊,缶+文创空间,康家班土布馆,小半有光杂货铺",,,,,,,,,,,
放生桥位于上海市青浦区朱家角镇跨于漕港上明隆庆五年1571年由慈门寺僧性潮募建清嘉庆十七年1812重建放生桥凝结了古代劳动人民的智慧结晶在其设计与构造上可见一斑放生桥为五孔石拱桥而非平桥或单孔石拱桥作为上海地区最长最大最高的五孔联拱大桥称为沪上第一桥也是包括周庄乌镇同里等在内的江南十大名镇中惟一的大型古桥全长70.8米宽5.8米结构精巧形状美观放生桥长如带形如虹井带长虹为朱家角十景之一放生桥上的石刻技艺也十分高超龙门石上镌有盘龙8条环绕明珠形态逼真桥顶四角蹲着石狮4只仰头张嘴栩栩如生中间有竹节望柱桥面中央镶嵌雕花石板长方形板式桥栏四角方整棱角分明桥东建有碑亭供行人憩息临水筑以石驳凿以锁缆孔为舟楫停泊所用桥壁柱石上刻有清晰的楹联帆影逐归鸿锁住玉山云一片潮声喧走马平溪珠浦浪千重楹联各12字自上而下似山涧飞瀑一泻百丈颇有气势它描绘了十里漕港水运繁忙的热闹景象和江河波涛之汹涌更加突出了放生桥的宏伟气派历来文人雅士赞美此桥有诗云长桥驾彩虹往来便是井日中交易过斜阳乱人影朱家角放生桥为上海地区现存最大最长的石拱桥是一笔宝贵的文化遗产作为古镇上的一个标志性古建筑已被录入上海之最江南胜迹中国名胜词典放生桥在1987年被入选为上海市文物保护单位,1,,,,,,,,,,,,
为了这杯奶茶特意去了朱家角古镇奶茶好喝 奶皮子好次每个小零食都吼次爱喝下次还去,7,"奶茶, 好喝, 奶皮子, 小零食, 爱喝, 下次还去",,,,,,,,,,,
谁懂啊坐摇橹船闯入真江南上海1h直达的千年古镇朱家角漫游指南神仙入场方式作为在这陪读四年的妈妈踏遍了朱家角古镇的每个角落每个入口经常是走不寻常的路通往古镇的路四通八达今天介绍其中特别的一种地铁下来有个坐船的地方30元一个人进入朱家角古镇内比在景区里坐的距离远多了关键是好看一定要试试摇橹船直达古镇心脏的玩法导航至地铁17号线朱家角站30r/人拼船真的太太太有感觉了疯狂按快门预警下船后必做清单 踩过沪上第一古桥放生桥 钻进明清长街北大街吃阿婆粽+扎肉 打卡人生之路同款课植园园林 找家临河茶馆听评弹看乌篷船晃过夕阳  推荐民宿区那里安静 把熏青豆&状元糕塞满包包当手信懒人贴士地铁17号线朱家角站+10min三轮车古镇免费课植园20r建议穿新中式/素色裙装带把团扇更绝舟行碧波上人在画中游魔都打工人周末出逃计划+1 ,1,,,,,,,,,,,,
位置上海市青浦区朱家角镇新风路288弄1号二层 知欢新国风放生桥向东100米星巴克 斜对面自驾导航至朱家角古镇2号门游客中心直通停车场朱里雅集停车场D4出口直通店铺二楼地铁17号线到 朱家角1号口出 步行1.5公里或者5号出口乘1510路旅游专线或者地铁1号口出站乘船进入朱家角,5,,,,,,,,,,,,
生命是一叶扁舟在岁月的河流中穿梭静默而勇敢生生而不息古镇的生命力让人又爱又恨爱的是对过去记忆的怀念承载了数百年的光阴每一块砖瓦似乎都附着了时间的痕迹弹指一挥尘埃飘散朱家角的时光从早上7点就已经开始旅行团还在睡梦中商铺依然大门紧闭此刻的河流中只有船夫在独自摆渡将船只停靠着指定的位置等待着游客的到来此时此刻的古镇仿佛才是最朴实无华的存在阳光绿树老人石板路在绝对的安静面前古镇的一切都可以是美好的喧嚣沓至一切又将烟消云散10年前到访朱家角古镇还是一个收费景区如今的朱家角大门敞开任意进出且停车方便交通便利极其开放和包容小桥流水是大部份人对朱家角的印象婉约和清秀是这里的底色桥连接了小河两岸驻足桥心静静等待阳光的到来网上总有许多攻略告诉你如何逛好一座古镇但没有什么攻略比得上在古镇沉睡的时光你突然闯入静静走入每一寸细节可以安静地欣赏一切离开的时候古镇游客已经开始聚集逆光而行后会有期,1,,,,,,,,,,,,
這一天是朱家角一日遊**餐廳心得 鮮得來排骨年糕比想像種好吃但整體偏普通試過就好北步园火鍋我平常可以接受的辣度最多小辣所以我不知道怎麼定義好不好吃我們鍋底點豬肚雞&微辣但我吃起來根本就是特大辣等級了我基本上只吃了一兩塊鴨血就不行了不過店員人真得很好他幫我們把麻辣鍋底上的辣油撈掉一半不過還是很辣就是了哈哈然後用醬料時我在醬料台前面猶豫不決想了很久不知道要加什麼醬最後店員幫我調了一個我跟旅伴都覺得好吃的醬流心蛋炒飯可以點還不錯塔斯汀漢堡心心念念的塔斯汀漢堡雖然鳳梨板烤雞漢堡下架但是藤椒雞腿漢堡我很喜歡藤椒是花椒的近親吃起來味道差不多推推**景點心得*(  )朱家角其實當初我想來朱家角是為了要穿漢服不過因為是冬天的關係後來沒有穿這邊從人民廣場搭車過去大概一小時我跟旅伴都不會後悔來這邊甚至覺得是這次來上海玩最讚的景點雖然就像一般老街一樣旁邊很多商店會有點商業化的感覺但是朱家角古鎮本身就太美了附近也有圓津禪院城隍廟大清郵局舊址可以去拍拍照如果來上海時間夠的話我覺得這邊會是一個不錯的選擇最讓我印象深刻還是德藝軒內畫大師秦孝寧太厲害了老闆人也很親切還給我們體驗畫看看瓶子真的很難老闆畫了一個可愛的豬吊飾我會好好珍藏_('o'c)_,1,,,,,,,,,,,,
周末不想人挤人那就来朱家角吧上海唯一的地铁直达古镇17号线直达朱家角站出站步行15min就能到~小桥流水白墙黛瓦比市区安静太多随手一拍都是江南水乡的温柔 必打卡点 放生桥朱家角地标站在桥上俯瞰河道傍晚超有氛围感 北大街古镇C位扎肉粽子臭豆腐小吃多到挑花眼 课植园20r门票小众园林人少景美穿汉服拍照绝了 漕河街沿河茶馆超多30r一壶茶坐着发呆看游船超chill~ 美食推荐 阿婆粽蛋黄肉粽必吃热乎乎糯叽叽10r/个 扎肉浓油赤酱炖出来的五花肉肥而不腻 臭豆腐外脆里嫩和长沙臭豆腐不一样的风味 桂花糖藕甜而不腻江南特色甜品 Tips建议下午3点后到逛到傍晚看夜景灯光超美地铁17号线直达自驾停车20r/天门票免费但部分小景点单独收费课植园城隍庙等 地址 上海市青浦区朱家角古镇 交通 地铁17号线朱家角站1号口出,9,"小桥流水,白墙黛瓦,安静,江南水乡,温柔,放生桥,地标,河道,氛围感,北大街,C位,扎肉粽子,臭豆腐,小吃,课植园,门票,小众园林,人少景美,汉服拍照,漕河街,沿河茶馆,游船,chill,阿婆粽,蛋黄肉粽,热乎乎,糯叽叽,扎肉,浓油赤酱,五花肉,肥而不腻,臭豆腐,外脆里嫩,桂花糖藕,甜而不腻,夜景灯光",,,,,,,,,,,
朱家角古镇是上海非常热闹的景点天气好的时候过来游玩很惬意坐坐游船逛吃逛吃老少皆宜怪不得大家都很喜欢连老外都爱来.朱家角古镇地址上海青浦区课植园路555号,9,"朱家角古镇,上海,热闹,天气好,游船,逛吃,老少皆宜,大家都很喜欢,老外爱来,课植园路555号",,,,,,,,,,,
朱家角古镇或将变身5A级景区,5,,,,,,,,,,,,
青浦和心园是一座位于上海市青浦区朱家角古镇的私家园林由美籍华人赵国良先生出资建造是一座集园林艺术和历史文化于一体的博物馆这座园林融合了明清两代的古建筑和古物展现了独特的江南园林风格园中的建筑包括亭台楼阁假山水池古桥古井等每一处都流露出浓厚的历史气息和心园的建筑风格以明清时期的古建筑为主给人一种宁静与和谐之感园中的和心亭是整个园林的标志性建筑建于清嘉庆年间拥有精美的木雕和石雕亭内百桌上刻有棋盘尽显古朴典雅的气质除了古建筑和心园还珍藏了大量的珍贵古物这些古物包括明清时期的瓷器玉器等不仅展现了古代匠人卓越的技艺也反映了当时社会的文化风貌园内的承裕堂陈列着各类收藏品如玉石雅刻瓷瓶挂屏硬木家具等诚德堂中则有杜月笙府宅中的正堂摆件掂和心亭据说源自三峡地区的清代古亭因修建水库而迁移至此和心园的展示正是赵国良先生多年精心收藏的各类艺术珍品品类丰富多样如宋代佛像木雕巨幅唐卡作品等和心园不仅是一座园林更是一座历史的宝库通过建造和心园赵国良先生致力于将中国的传统文化和古建筑艺术传承下去让更多的人了解并欣赏中国的文化遗产门票:30元  买古镇三大景点套票60更划算,9,"青浦,心园,上海市,青浦区,朱家角古镇,私家园林,美籍华人,赵国良,园林艺术,历史文化,博物馆,明清,古建筑,古物,江南园林风格,亭台楼阁,假山,水池,古桥,古井,历史气息,和心亭,清嘉庆年间,木雕,石雕,棋盘,古朴典雅,宁静,和谐,珍贵古物,瓷器,玉器,技艺,文化风貌,承裕堂,收藏品,玉石,雅刻,瓷瓶,挂屏,硬木家具,诚德堂,杜月笙,正堂摆件,三峡地区,清代古亭,水库,宋代佛像,木雕,巨幅唐卡作品,艺术珍品,品类丰富,传统文化,古建筑艺术,文化遗产,门票,套票",,,,,,,,,,,
朱家角 | 一半烟火一半清欢繁华外市井处古镇里最人间藏在魔都里的江南水乡,9,"烟火,清欢,繁华,市井,古镇,人间,魔都,江南水乡",,,,,,,,,,,
上千件旗袍挑到眼花旗袍不合适还有老师傅当场改尺就连新中式和国风连衣裙也有本地人一周逛一次因为几天不来店里旗袍就大换新上新嘎嘎快怎么逛都逛不腻地址朱家角古镇星巴克斜对面,1,,,,,,,,,,,,
位于上海市青浦区淀山湖畔的朱家角古镇是上海四大历史文化名镇之一具有独特的位置和价值其将千年江南文化精髓与现代生活美学完美融合堪称最美的上海后花园朱家角古镇交通非常方便虹桥火车站有始发的十七号地铁直达朱家角然后从朱家角地铁站到古镇中心有两公里的路程可以选择走陆路或水路我们选择乘游船走水路进入朱家角古镇在地铁口直接上船一路沿河道直达朱家角古镇中心景区放生桥码头事实上这是一场融合视觉听觉与文化体验的沉浸式旅程可以感受船在桥下过人在画中游的时空交错感船行时伴有橹声与水波声更易沉浸于小桥流水人家的江南意境朱家角古镇的魅力之一是历史悠久朱家角在宋元时已形成集市明万历年间正式建镇镇内河港纵横达20多公里造就九街十八巷的沿河景观两岸千栋明清建筑依水而立形成人家尽枕河的经典画面三十六座石桥古风犹存形态各异有着深厚的历史底蕴这里有沪上第一石拱桥放生桥放生桥是上海地区最长最大最高的五孔联拱大桥有沪上第一明清街北大街曾经长街三里店铺千家的北大街是当时江南古镇最热闹的古老街道之一还有圆津禅院城隍庙大清邮局等众多古迹朱家角古镇的魅力之二是文化丰富古镇保存了1.5平方公里的明清建筑群北大街被誉为沪上第一明清街沿街店铺保留着一线天的独特构筑老式店招与灯笼相映成趣这里有集江南豪富人家建筑之大成的席氏厅堂清代吴中七子王卂纪念馆等此外圆津禅院的明代壁画席氏厅堂的砖雕艺术王昶纪念馆的文人墨迹共同构成鲜活的文化谱系古镇仍保存有涵大隆酱园江南第一茶楼等百年老字号见证着古镇历史上曾经的的繁荣朱家角古镇的魅力之三是以水为魂朱家角地处淀山湖畔境内河港纵横交错形成九街十八巷一桥跨两岸的水网格局漕港河穿镇而过构成家家临水户户通舟的水乡肌理沿岸商铺码头粮仓密集分布形成前街后河的市井风貌古镇现存400余处明清建筑中大量建筑都是枕河而居坐在临河的茶馆窗口看着河中舟辑穿梭一派上海威尼斯的水乡风情如今北大街作为明清时期的商业街河埠头与石板路并行至今仍保留着水旱码头的繁华遗韵乘船漫游时摇橹声与河道涟漪共鸣两岸黛瓦粉墙如画卷徐徐展开天然一幅水墨画卷,10,"朱家角古镇,上海,历史文化名镇,位置,价值,江南文化精髓,现代生活美学,后花园,交通,地铁,水路,放生桥码头,视觉,听觉,文化体验,沉浸式旅程,船,桥,画,时空交错感,橹声,水波声,小桥流水人家,江南意境,历史悠久,宋元,集市,明万历,建镇,河港,九街十八巷,明清建筑,人家尽枕河,石桥,历史底蕴,放生桥,石拱桥,五孔联拱大桥,北大街,古老街道,圆津禅院,城隍庙,大清邮局,古迹,文化丰富,明清建筑群,沪上第一明清街,沿街店铺,一线天,店招,灯笼,席氏厅堂,吴中七子王卂纪念馆,明代壁画,砖雕艺术,文人墨迹,文化谱系,涵大隆酱园,江南第一茶楼,百年老字号,以水为魂,淀山湖畔,河港,九街十八巷,一桥跨两岸,水网格局,漕港河,临水,通舟,水乡肌理,商铺,码头,粮仓,前街后河,市井风貌,临河,茶馆,河中舟辑,上海威尼斯,水乡风情,商业街,河埠头,石板路,水旱码头,繁华遗韵,摇橹声,河道涟漪,两岸黛瓦粉墙,水墨画卷",,,,,,,,,,,
朱家角在清晨暂时脱下了商业街的繁华准备迎接新一天的热闹最后一个比赛日大家都要加油呀[派对R],1,,,,,,,,,,,,
锦溪古镇P1-P8朱家角古镇P9-P14商业化总体感觉锦溪古镇没有那么商业化个人感觉可以用本地特色保存情况判断锦溪古镇虽然多家都有卖袜底饼但本地特色还比较多的朱家角古镇可以说是汇集了全国各类景区必备云南的烤乳扇冰糖葫芦还有各种各样的旅拍麦当劳小杨生煎应有尽有特色各有各的特色朱家角水域更开阔夜景比较壮观锦溪古镇原始建筑相对保存完善锦溪古镇还有听歌划船坐在水边听到来往唱歌的船只很享受美食P6 锦溪古镇 香酥鸡排队大中小分为201510炸的相对蓬松而不酥脆中分份量不算多P6感觉鸡腿会更香脆还可以蘸酱P7P8 姚记海棠饼桂花糖浇在饼的外圈凝固了细腻的豆沙加分推荐P14 拔草银杏阿婆粽 肉给的实在味道还可以的,1,,,,,,,,,,,,
"上海郊区的朱家角水乡有着1700年历史这里有古老的石桥安静的水道还有传统建筑你可以走在小巷里或者坐船感受这里的古老魅力你去过朱家角或类似的水乡吗?Zhujiajiao, a 1,700-year-old water town near Shanghai, features stone bridges, peaceful canals, and traditional architecture. Stroll the alleys or take a boat ride to enjoy its charm. Have you visited Zhujiajiao or similar water towns?Zhujiajiao, un pueblo de agua de 1.700 aos cerca de Shanghi, tiene puentes de piedra, canales tranquilos y arquitectura tradicional. Pasea por sus callejones o da un paseo en barco para disfrutar de su encanto. Has visitado Zhujiajiao o algn pueblo similar? 上海市青浦区朱家角镇 / Zhujiajiao Town, Qingpu District, Shanghai, China 朱家角站17号/ Zhujiajiao Station (Line 17) 免费 / Free",9,"古老的石桥,安静的水道,传统建筑,小巷,船,古老魅力",,,,,,,,,,,
上海朱家角古镇速写,5,,,,,,,,,,,,
在上海众多江南古镇里面朱家角可以算得上一等一的了风景优美有很浓的江南古镇韵味河流纵横还有好几座古桥软件硬件都是不错的节假日人流如织人山人海可见人们对朱家角的喜爱尤其夜景更加无敌很多人晚上可能没来过朱家角不知道这里的夜景有多美,9,"风景优美,江南古镇韵味,河流纵横,古桥,软件硬件,夜景",,,,,,,,,,,
深蓝夜空配上华灯初上的古镇和花船,9,"深蓝夜空,华灯初上,古镇,花船",,,,,,,,,,,
第一次夜划朱家角古镇很是很多惊喜藏吧的啤酒和青稞白酒很赞店里环境也很不错值得打卡@ToTheWater向水而生 @索酷海翼水上运动俱乐部 ,9,"夜划,朱家角古镇,藏吧,啤酒,青稞白酒,店里环境,值得打卡",,,,,,,,,,,
买盏桂花酒酿沿河晃荡看柳枝蘸水写瘦金体的诗游船穿过桥洞时有人把揉碎的云朵撒进阿婆粽的箬叶里,9,"桂花酒酿,沿河,柳枝,瘦金体,诗,游船,桥洞,云朵,阿婆粽,箬叶",,,,,,,,,,,
